iter	Passed	Remaining
406	5704	8310
407	5717	8296
408	5730	8280
409	5745	8267
410	5759	8254
411	5774	8240
412	5788	8227
413	5803	8214
414	5817	8200
415	5833	8189
416	5848	8176
417	5862	8162
418	5876	8148
419	5890	8135
420	5906	8122
421	5921	8110
422	5936	8097
423	5950	8083
424	5964	8069
425	5979	8056
426	5993	8042
427	6007	8028
428	6021	8014
429	6035	8001
430	6050	7988
431	6064	7974
432	6079	7960
433	6093	7946
434	6107	7932
435	6121	7918
436	6135	7904
437	6147	7888
438	6161	7873
439	6175	7860
440	6190	7846
441	6203	7832
442	6218	7818
443	6232	7805
444	6247	7791
445	6261	7778
446	6276	7764
447	6290	7751
448	6306	7738
449	6320	7724
450	6334	7711
451	6349	7697
452	6364	7685
453	6378	7671
454	6392	7657
455	6406	7643
456	6420	7629
457	6435	7615
458	6449	7602
459	6464	7588
460	6478	7574
461	6493	7561
462	6508	7548
463	6522	7534
464	6537	7521
465	6551	7507
466	6565	7493
467	6579	7479
468	6593	7465
469	6608	7452
470	6622	7438
471	6636	7424
472	6650	7410
473	6665	7396
474	6678	7381
475	6692	7367
476	6707	7353
477	6721	7339
478	6735	7325
479	6748	7311
480	6763	7297
481	6777	7283
482	6791	7269
483	6806	7256
484	6820	7242
485	6834	7228
486	6849	7214
487	6862	7200
488	6876	7185
489	6890	7171
490	6904	7157
491	6918	7143
492	6932	7129
493	6945	7114
494	6959	7100
495	6973	7086
496	6987	7071
497	7001	7058
498	7016	7044
499	7030	7030
500	7043	7015
501	7056	7000
502	7070	6986
503	7084	6972
504	7099	6958
505	7111	6943
506	7126	6929
507	7139	6915
508	7154	6901
509	7168	6887
510	7183	6874
511	7198	6860
512	7212	6847
513	7227	6833
514	7242	6820
515	7258	6808
516	7275	6796
517	7289	6782
518	7303	6769
519	7318	6755
520	7332	6741
521	7346	6727
522	7360	6713
523	7374	6699
524	7388	6685
525	7403	6671
526	7417	6657
527	7431	6643
528	7445	6629
529	7459	6615
530	7473	6601
531	7487	6586
532	7501	6572
533	7516	6559
534	7530	6544
535	7544	6531
536	7558	6517
537	7573	6503
538	7587	6489
539	7601	6475
540	7616	6461
541	7630	6447
542	7644	6433
543	7658	6419
544	7672	6405
545	7687	6391
546	7701	6378
547	7715	6364
548	7730	6350
549	7742	6334
550	7756	6320
551	7770	6306
552	7784	6292
553	7799	6278
554	7813	6264
555	7828	6251
556	7841	6236
557	7856	6223
558	7871	6209
559	7885	6195
560	7899	6181
561	7913	6167
562	7927	6153
563	7941	6139
564	7955	6124
565	7969	6110
566	7983	6096
567	7996	6081
568	8010	6067
569	8024	6053
570	8039	6039
571	8053	6026
572	8067	6011
573	8081	5997
574	8095	5983
575	8109	5969
576	8124	5956
577	8138	5942
578	8152	5927
579	8167	5914
580	8181	5900
581	8195	5886
582	8209	5872
583	8224	5858
584	8241	5846
585	8258	5834
586	8275	5822
587	8289	5808
588	8303	5794
589	8318	5780
590	8332	5766
591	8347	5752
592	8361	5738
593	8375	5724
594	8390	5711
595	8404	5696
596	8418	5682
597	8432	5668
598	8446	5654
599	8460	5640
600	8475	5626
601	8489	5612
602	8504	5598
603	8518	5585
604	8533	5571
605	8547	5557
606	8562	5543
607	8576	5529
608	8589	5514
609	8603	5500
610	8617	5486
611	8631	5472
612	8646	5458
613	8660	5444
614	8674	5430
615	8689	5416
616	8703	5402
617	8716	5388
618	8730	5373
619	8744	5359
620	8758	5345
621	8772	5331
622	8786	5317
623	8800	5303
624	8814	5288
625	8829	5275
626	8843	5261
627	8858	5247
628	8872	5233
629	8886	5219
630	8900	5205
631	8914	5190
632	8928	5176
633	8943	5163
634	8956	5148
635	8971	5134
636	8985	5120
637	9000	5107
638	9014	5092
639	9028	5078
640	9041	5063
641	9055	5049
642	9069	5035
643	9083	5021
644	9097	5007
645	9111	4992
646	9125	4978
647	9139	4964
648	9153	4950
649	9167	4936
650	9181	4922
651	9195	4907
652	9209	4893
653	9223	4879
654	9238	4866
655	9255	4853
656	9270	4839
657	9285	4826
658	9299	4811
659	9313	4797
660	9327	4783
661	9340	4769
662	9354	4755
663	9369	4741
664	9383	4726
665	9397	4712
666	9411	4698
667	9426	4684
668	9440	4670
669	9454	4656
670	9468	4642
671	9483	4628
672	9498	4614
673	9512	4601
674	9526	4587
675	9540	4572
676	9554	4558
677	9569	4544
678	9582	4530
679	9596	4515
680	9610	4501
681	9625	4487
682	9639	4473
683	9654	4460
684	9668	4446
685	9682	4431
686	9696	4417
687	9711	4403
688	9725	4390
689	9739	4375
690	9753	4361
691	9768	4347
692	9782	4333
693	9796	4319
694	9811	4305
695	9825	4291
696	9839	4277
697	9854	4263
698	9868	4249
699	9882	4235
700	9896	4221
701	9910	4207
702	9924	4192
703	9938	4178
704	9952	4164
705	9965	4150
706	9979	4135
707	9994	4121
708	10008	4107
709	10023	4093
710	10037	4079
711	10051	4065
712	10065	4051
713	10079	4037
714	10094	4023
715	10108	4009
716	10122	3995
717	10135	3980
718	10149	3966
719	10163	3952
720	10179	3938
721	10194	3925
722	10209	3911
723	10226	3898
724	10240	3884
725	10255	3870
726	10270	3856
727	10284	3842
728	10299	3828
729	10314	3814
730	10328	3800
